Date,Price,Open,High,Low,Change %
10-09-2023,6.89,6.87,6.89,6.87,0.15%
10-06-2023,6.88,6.87,6.89,6.83,0.15%
10-05-2023,6.87,6.86,6.9,6.85,0.29%
10-04-2023,6.85,6.85,6.89,6.8,0.29%
10-03-2023,6.83,6.87,6.88,6.82,-0.58%
09/29/2023,6.87,6.87,6.88,6.85,0.00%
09/28/2023,6.87,6.87,6.88,6.85,0.00%
09/27/2023,6.87,6.87,6.88,6.85,0.15%
09/26/2023,6.86,6.82,6.86,6.8,0.59%
09/25/2023,6.82,6.83,6.88,6.8,0.00%
09/22/2023,6.82,6.82,6.87,6.82,-0.44%
09/21/2023,6.85,6.87,6.88,6.82,0.00%
09/20/2023,6.85,6.86,6.88,6.85,0.15%
09/18/2023,6.84,6.85,6.87,6.84,-0.29%
09/15/2023,6.86,6.84,6.87,6.84,0.29%
09/14/2023,6.84,6.84,6.86,6.81,-0.15%
09/13/2023,6.85,6.84,6.88,6.84,-0.29%
09-12-2023,6.87,6.82,6.88,6.82,0.59%
09-11-2023,6.83,6.82,6.86,6.82,-0.29%
09-08-2023,6.85,6.81,6.85,6.8,0.59%
09-07-2023,6.81,6.83,6.83,6.81,-0.15%
09-06-2023,6.82,6.81,6.84,6.78,0.29%
09-05-2023,6.8,6.8,6.85,6.8,0.00%
09-04-2023,6.8,6.81,6.84,6.8,-0.15%
09-01-2023,6.81,6.8,6.83,6.79,0.29%
08/31/2023,6.79,6.82,6.83,6.78,-0.59%
08/30/2023,6.83,6.81,6.86,6.81,0.44%
08/29/2023,6.8,6.8,6.85,6.8,0.00%
08/28/2023,6.8,6.83,6.84,6.77,-1.02%
08/25/2023,6.87,6.86,6.87,6.82,-0.15%
08/24/2023,6.88,6.86,6.89,6.85,0.29%
08/23/2023,6.86,6.82,6.86,6.82,0.00%
08/22/2023,6.86,6.84,6.86,6.81,0.00%
08/21/2023,6.86,6.85,6.88,6.85,0.00%
08/18/2023,6.86,6.87,6.88,6.85,-0.15%
08/17/2023,6.87,6.8,6.87,6.8,1.48%
08/14/2023,6.77,6.78,6.8,6.77,0.00%
08-11-2023,6.77,6.78,6.8,6.76,0.00%
08-10-2023,6.77,6.77,6.79,6.77,0.30%
08-09-2023,6.75,6.74,6.78,6.73,0.00%
08-08-2023,6.75,6.74,6.75,6.74,0.00%
08-07-2023,6.75,6.73,6.75,6.73,0.30%
08-04-2023,6.73,6.73,6.76,6.72,-0.15%
08-03-2023,6.74,6.73,6.75,6.73,0.00%
08-02-2023,6.74,6.73,6.74,6.72,0.00%
08-01-2023,6.74,6.73,6.76,6.73,0.00%
07/31/2023,6.74,6.73,6.74,6.72,-0.15%
07/28/2023,6.75,6.74,6.77,6.7,0.30%
07/27/2023,6.73,6.74,6.74,6.69,-0.15%
07/26/2023,6.74,6.73,6.74,6.72,0.15%
07/25/2023,6.73,6.73,6.74,6.72,-0.15%
07/24/2023,6.74,6.73,6.74,6.72,0.15%
07/21/2023,6.73,6.72,6.73,6.72,-0.15%
07/20/2023,6.74,6.74,6.74,6.73,0.00%
07/19/2023,6.74,6.73,6.75,6.69,0.00%
07/18/2023,6.74,6.73,6.75,6.72,0.15%
07/17/2023,6.73,6.76,6.76,6.73,0.00%
07/14/2023,6.73,6.74,6.76,6.71,0.15%
07/13/2023,6.72,6.75,6.75,6.72,0.00%
07-12-2023,6.72,6.73,6.75,6.71,0.00%
07-11-2023,6.72,6.73,6.77,6.71,-0.44%
07-10-2023,6.75,6.72,6.76,6.72,0.30%
07-07-2023,6.73,6.74,6.75,6.73,-0.30%
07-06-2023,6.75,6.75,6.76,6.73,0.30%
07-05-2023,6.73,6.72,6.74,6.71,0.00%
07-04-2023,6.73,6.73,6.75,6.72,-0.59%
07-03-2023,6.77,6.75,6.77,6.75,0.00%
06/30/2023,6.77,6.78,6.78,6.73,-0.15%
06/28/2023,6.78,6.78,6.8,6.77,0.00%
06/27/2023,6.78,6.77,6.8,6.77,0.00%
06/26/2023,6.78,6.73,6.78,6.73,0.59%
06/23/2023,6.74,6.74,6.76,6.73,-0.30%
06/22/2023,6.76,6.76,6.76,6.75,-0.15%
06/21/2023,6.77,6.78,6.81,6.75,-0.59%
06/20/2023,6.81,6.78,6.81,6.77,0.15%
06/19/2023,6.8,6.78,6.82,6.77,0.44%
06/16/2023,6.77,6.8,6.81,6.76,-0.59%
06/15/2023,6.81,6.81,6.82,6.79,0.59%
06/14/2023,6.77,6.76,6.78,6.75,0.00%
06/13/2023,6.77,6.75,6.78,6.74,0.30%
06-12-2023,6.75,6.75,6.77,6.74,-0.15%
06-09-2023,6.76,6.76,6.78,6.76,0.00%
06-08-2023,6.76,6.78,6.78,6.75,0.15%
06-07-2023,6.75,6.73,6.77,6.73,0.00%
06-06-2023,6.75,6.73,6.78,6.73,0.30%
06-05-2023,6.73,6.76,6.79,6.73,-0.30%
06-02-2023,6.75,6.77,6.78,6.74,-0.15%
06-01-2023,6.76,6.76,6.78,6.75,-0.15%
05/31/2023,6.77,6.78,6.79,6.77,0.30%
05/30/2023,6.75,6.75,6.78,6.75,0.00%
05/29/2023,6.75,6.75,6.77,6.75,-0.15%
